sentenced,id_seq
Some actors are drillers and Some actors are nurses,30_30_R
All models are managers and All models are clerks,30_31_R
No packers are tutors and Some butchers are tutors,30_33_R
Some gamblers are not bakers and All sculptors are gamblers,30_35_R
All auditors are cleaners and Some painters are not cleaners,30_36_R
Some campers are fencers and All engineers are fencers,30_38_R
No plumbers are lifeguards and Some dentists are not lifeguards,30_39_R
Some architects are not designers and Some designers are not trainers,30_41_R
All poets are waiters and No poets are cashiers,30_42_R
Some miners are skaters and Some poets are miners,30_43_R
No hikers are writers and No drivers are hikers,30_44_R
All hunters are lawyers and Some athletes are not hunters,30_45_R
No porters are brewers and All brewers are judges,30_46_R
No workers are actors and Some actors are not painters,30_47_R
All novelists are travelers and All analysts are travelers,30_48_R
Some surfers are not artists and No artists are planners,30_49_R
All actuaries are opticians and Some opticians are boxers,30_51_R
No runners are chefs and Some chefs are scientists,30_52_R
Some typists are dancers and No boxers are typists,30_54_R
No climbers are tellers and Some climbers are doctors,30_55_R
Some bankers are not golfers and All golfers are teachers,30_56_R
Some linguists are divers and Some linguists are not carpenters,30_57_R
All potters are chemists and Some potters are sailors,30_58_R
Some buyers are students and No buyers are cyclists,30_59_R
Some drillers are actors and Some nurses are actors,30_60_R
All skaters are climbers and No climbers are therapists,30_61_R
All singers are tailors and All pilots are singers,30_62_R
Some assistants are not farmers and Some assistants are scholars,30_63_R
Some athletes are hunters and All athletes are lawyers,31_1_R
No sculptors are bakers and All gamblers are bakers,31_2_R
All dancers are boxers and All boxers are typists,31_3_R
All climbers are tellers and All climbers are doctors,31_4_R
No golfers are teachers and Some teachers are bankers,31_5_R
Some novelists are not analysts and Some travelers are not analysts,31_6_R
Some secretaries are not brokers and Some brokers are agents,31_7_R
All climbers are skaters and Some skaters are therapists,31_8_R
All writers are hikers and Some writers are not drivers,31_9_R
Some poets are miners and Some skaters are not miners,31_10_R
Some soldiers are florists and No florists are editors,31_12_R
Some linguists are carpenters and All carpenters are divers,31_15_R
Some engineers are not fencers and All engineers are campers,31_16_R
Some waiters are poets and All cashiers are waiters,31_18_R
All tutors are butchers and Some packers are butchers,31_19_R
Some scholars are not assistants and Some scholars are farmers,31_20_R
No artists are planners and Some surfers are artists,31_21_R
All painters are workers and No painters are actors,31_22_R
No riders are counselors and All joggers are riders,31_23_R
All singers are pilots and All tailors are pilots,31_24_R
Some architects are not designers and All trainers are architects,31_25_R
All buyers are cyclists and Some cyclists are not students,31_26_R
Some mayors are not cooks and Some swimmers are mayors,31_27_R
No lifeguards are plumbers and Some dentists are plumbers,31_28_R
Some actors are nurses and Some actors are drillers,31_29_R
No models are clerks and Some managers are not clerks,31_30_R
Some barbers are not jugglers and Some barbers are not investors,31_31_R
Some architects are not designers and All trainers are designers,31_33_R
No scientists are chefs and No scientists are runners,31_34_R
No athletes are hunters and Some athletes are not lawyers,31_36_R
Some golfers are bankers and No teachers are bankers,31_37_R
All secretaries are brokers and No agents are secretaries,31_38_R
Some lifeguards are not plumbers and Some plumbers are not dentists,31_39_R
No judges are porters and No brewers are judges,31_41_R
Some potters are chemists and Some chemists are sailors,31_42_R
No hikers are writers and All hikers are drivers,31_43_R
Some drillers are nurses and Some drillers are not actors,31_44_R
Some climbers are skaters and Some therapists are climbers,31_45_R
No models are clerks and Some models are managers,31_46_R
Some packers are butchers and Some butchers are not tutors,31_49_R
All tailors are pilots and No pilots are singers,31_50_R
Some novelists are not travelers and No analysts are travelers,31_52_R
All poets are waiters and All cashiers are poets,31_53_R
No auditors are cleaners and No cleaners are painters,31_54_R
All joggers are riders and Some counselors are not riders,31_55_R
Some sculptors are bakers and No sculptors are gamblers,31_56_R
Some carpenters are not divers and No carpenters are linguists,31_58_R
Some barbers are not investors and All investors are jugglers,31_59_R
All soldiers are editors and No florists are editors,31_60_R
No artists are surfers and All surfers are planners,31_61_R
All engineers are campers and Some fencers are not engineers,31_62_R
No cyclists are buyers and No students are buyers,31_63_R
All secretaries are agents and All agents are brokers,32_0_R
Some boxers are typists and All boxers are dancers,32_1_R
No miners are poets and All skaters are poets,32_3_R
All tutors are packers and Some butchers are packers,32_4_R
Some painters are auditors and Some cleaners are not painters,32_6_R
Some riders are not joggers and Some riders are not counselors,32_8_R
Some waiters are not poets and Some cashiers are poets,32_9_R
Some sculptors are not bakers and No gamblers are sculptors,32_11_R
No scientists are runners and Some runners are not chefs,32_12_R
Some potters are sailors and All chemists are sailors,32_13_R
No linguists are carpenters and Some divers are not carpenters,32_14_R
All boxers are actuaries and Some actuaries are opticians,32_15_R
No florists are soldiers and Some florists are editors,32_16_R
Some tailors are not singers and All singers are pilots,32_17_R
No drillers are nurses and All drillers are actors,32_18_R
Some climbers are not therapists and Some skaters are not climbers,32_19_R
All clerks are managers and No clerks are models,32_20_R
No lawyers are athletes and Some hunters are lawyers,32_21_R
Some assistants are not farmers and No scholars are farmers,32_23_R
Some jugglers are not barbers and Some investors are not barbers,32_24_R
No fencers are campers and No engineers are fencers,32_25_R
Some artists are surfers and Some artists are not planners,32_26_R
Some travelers are not novelists and Some novelists are not analysts,32_27_R
No tellers are doctors and Some climbers are not tellers,32_28_R
Some swimmers are not mayors and No swimmers are cooks,32_29_R
Some drivers are hikers and Some hikers are not writers,32_30_R
Some lifeguards are plumbers and Some dentists are lifeguards,32_31_R
Some chefs are not runners and All chefs are scientists,32_32_R
All agents are secretaries and No brokers are secretaries,32_33_R
Some models are clerks and No managers are models,32_34_R
No trainers are architects and Some trainers are not designers,32_35_R
All cooks are mayors and Some mayors are not swimmers,32_36_R
Some gamblers are sculptors and Some gamblers are bakers,32_37_R
Some tailors are not pilots and Some singers are tailors,32_38_R
No skaters are therapists and Some therapists are climbers,32_39_R
All chemists are sailors and All chemists are potters,32_40_R
All workers are painters and All actors are painters,32_41_R
All poets are waiters and Some poets are cashiers,32_45_R
Some planners are surfers and All artists are planners,32_46_R
No novelists are analysts and No travelers are analysts,32_47_R
No buyers are cyclists and All cyclists are students,32_48_R
All plumbers are dentists and Some plumbers are not lifeguards,32_49_R
Some lawyers are not hunters and No hunters are athletes,32_50_R
Some golfers are teachers and No golfers are bankers,32_51_R
Some brewers are porters and No porters are judges,32_54_R
No butchers are packers and All tutors are butchers,32_55_R
All fencers are engineers and No campers are fencers,32_56_R
No hikers are drivers and No drivers are writers,32_57_R
No linguists are divers and No linguists are carpenters,32_58_R
Some boxers are actuaries and All actuaries are opticians,32_59_R
Some farmers are scholars and Some assistants are not scholars,32_60_R
All dancers are boxers and All typists are dancers,32_61_R
Some riders are not joggers and Some riders are counselors,32_62_R
Some jugglers are not barbers and Some barbers are investors,32_63_R
Some tailors are singers and All tailors are pilots,33_0_R
All scholars are assistants and Some farmers are scholars,33_1_R
All boxers are dancers and All dancers are typists,33_2_R
No architects are trainers and All designers are trainers,33_3_R
All brewers are porters and No judges are porters,33_4_R
Some tutors are not packers and No butchers are packers,33_5_R
No golfers are bankers and No bankers are teachers,33_6_R
Some drillers are actors and Some nurses are not drillers,33_7_R
Some analysts are travelers and No novelists are analysts,33_8_R
Some hunters are not lawyers and Some athletes are not hunters,33_9_R
No actuaries are opticians and No boxers are actuaries,33_10_R
Some skaters are climbers and Some climbers are therapists,33_11_R
No poets are waiters and Some cashiers are waiters,33_12_R
No bakers are sculptors and All gamblers are bakers,33_13_R
No counselors are joggers and No counselors are riders,33_14_R
No agents are brokers and Some brokers are not secretaries,33_15_R
No climbers are doctors and Some climbers are not tellers,33_16_R
Some sailors are not chemists and Some sailors are not potters,33_17_R
All writers are hikers and Some drivers are not writers,33_18_R
Some painters are not workers and Some workers are actors,33_19_R
Some jugglers are not investors and Some barbers are jugglers,33_20_R
All cooks are mayors and All cooks are swimmers,33_21_R
No skaters are miners and Some miners are poets,33_22_R
Some plumbers are lifeguards and No lifeguards are dentists,33_23_R
No carpenters are linguists and Some carpenters are divers,33_24_R
No clerks are models and Some managers are not models,33_25_R
All editors are florists and Some editors are not soldiers,33_26_R
Some scientists are not runners and No scientists are chefs,33_28_R
All campers are engineers and All fencers are engineers,33_29_R
No planners are artists and Some surfers are not planners,33_30_R
All cyclists are buyers and No cyclists are students,33_31_R
Some cashiers are waiters and All waiters are poets,33_32_R
No carpenters are divers and No linguists are divers,33_33_R
Some runners are chefs and No scientists are chefs,33_34_R
Some artists are not planners and No surfers are artists,33_35_R
Some teachers are golfers and Some bankers are not golfers,33_36_R
Some miners are not skaters and Some skaters are not poets,33_37_R
All lawyers are hunters and All athletes are lawyers,33_38_R
No fencers are campers and All fencers are engineers,33_39_R
Some writers are not hikers and Some drivers are hikers,33_42_R
Some climbers are not therapists and No therapists are skaters,33_43_R
No farmers are scholars and All scholars are assistants,33_44_R
Some chemists are not potters and All sailors are chemists,33_45_R
Some cyclists are buyers and Some cyclists are not students,33_46_R
Some sculptors are bakers and Some gamblers are bakers,33_47_R
Some joggers are not counselors and All joggers are riders,33_48_R
All butchers are tutors and Some tutors are not packers,33_49_R
No managers are models and Some clerks are managers,33_50_R
Some actors are not workers and All painters are workers,33_51_R
All auditors are painters and No painters are cleaners,33_52_R
Some boxers are dancers and Some dancers are not typists,33_53_R
All designers are architects and Some trainers are architects,33_54_R
Some editors are not soldiers and All soldiers are florists,33_55_R
Some brewers are not judges and Some porters are not judges,33_57_R
All opticians are boxers and No actuaries are opticians,33_59_R
Some pilots are singers and All tailors are singers,33_60_R
Some lifeguards are not plumbers and Some lifeguards are dentists,33_62_R
All agents are brokers and Some agents are secretaries,33_63_R
All brewers are porters and All porters are judges,34_0_R
No cyclists are students and All buyers are students,34_1_R
Some travelers are novelists and All travelers are analysts,34_2_R
All bankers are golfers and Some teachers are bankers,34_3_R
Some plumbers are lifeguards and No dentists are lifeguards,34_4_R
No cleaners are auditors and No cleaners are painters,34_6_R
Some counselors are not joggers and Some riders are not counselors,34_7_R
Some carpenters are linguists and No carpenters are divers,34_8_R
No jugglers are barbers and All barbers are investors,34_9_R
All hunters are athletes and All hunters are lawyers,34_10_R
No brokers are agents and All brokers are secretaries,34_11_R
Some sailors are not potters and All chemists are sailors,34_12_R
All boxers are dancers and No dancers are typists,34_13_R
Some planners are not artists and No artists are surfers,34_14_R
Some singers are tailors and All pilots are tailors,34_15_R
Some therapists are not climbers and Some therapists are not skaters,34_16_R
Some cashiers are not poets and Some waiters are cashiers,34_18_R
All writers are hikers and All drivers are writers,34_19_R
All tutors are butchers and Some packers are not tutors,34_20_R
Some climbers are not doctors and Some doctors are not tellers,34_21_R
All nurses are actors and Some nurses are drillers,34_22_R
No chefs are runners and All scientists are chefs,34_23_R
Some sculptors are gamblers and Some bakers are gamblers,34_24_R
No designers are architects and Some architects are not trainers,34_25_R
Some assistants are not farmers and All assistants are scholars,34_26_R
No soldiers are editors and Some editors are florists,34_27_R
No models are managers and Some clerks are not managers,34_28_R
Some miners are not poets and All poets are skaters,34_29_R
All campers are engineers and Some campers are not fencers,34_30_R
Some actors are painters and No workers are actors,34_31_R
All sculptors are gamblers and No bakers are sculptors,34_32_R
Some divers are not carpenters and Some linguists are carpenters,34_34_R
All opticians are boxers and All actuaries are boxers,34_35_R
No fencers are campers and Some fencers are not engineers,34_36_R
No nurses are drillers and Some actors are not nurses,34_38_R
Some runners are not chefs and No scientists are chefs,34_41_R
Some artists are surfers and Some planners are not surfers,34_42_R
Some barbers are investors and Some barbers are not jugglers,34_43_R
All singers are pilots and No tailors are pilots,34_44_R
Some teachers are bankers and No bankers are golfers,34_45_R
Some hikers are writers and Some writers are not drivers,34_46_R
No riders are counselors and Some joggers are riders,34_47_R
Some managers are clerks and Some managers are models,34_48_R
Some students are buyers and Some cyclists are not students,34_49_R
No workers are painters and Some workers are actors,34_50_R
Some poets are waiters and All cashiers are poets,34_52_R
No assistants are farmers and No scholars are farmers,34_53_R
Some skaters are not poets and All miners are poets,34_54_R
All sailors are chemists and No sailors are potters,34_55_R
All porters are brewers and Some judges are brewers,34_56_R
Some analysts are travelers and Some travelers are novelists,34_57_R
Some trainers are not architects and Some architects are designers,34_61_R
No cooks are mayors and No swimmers are cooks,34_62_R
All typists are boxers and Some dancers are not boxers,34_63_R
All painters are actors and All actors are workers,35_0_R
All tutors are packers and Some butchers are tutors,35_2_R
Some investors are jugglers and All investors are barbers,35_3_R
Some trainers are designers and All architects are trainers,35_5_R
Some painters are auditors and Some auditors are cleaners,35_6_R
No boxers are dancers and Some boxers are typists,35_9_R
Some bakers are not gamblers and No gamblers are sculptors,35_10_R
No planners are artists and Some artists are not surfers,35_11_R
No singers are tailors and All pilots are singers,35_12_R
Some swimmers are cooks and Some mayors are cooks,35_13_R
All drivers are hikers and No hikers are writers,35_14_R
No secretaries are brokers and No agents are secretaries,35_15_R
Some chemists are not sailors and No chemists are potters,35_16_R
Some scientists are not chefs and No runners are scientists,35_17_R
Some poets are not cashiers and All poets are waiters,35_18_R
No students are buyers and Some cyclists are students,35_19_R
All teachers are bankers and Some golfers are bankers,35_20_R
Some editors are florists and Some soldiers are not florists,35_21_R
Some counselors are not riders and All joggers are counselors,35_22_R
No assistants are scholars and No farmers are scholars,35_24_R
Some divers are linguists and Some carpenters are divers,35_25_R
Some therapists are climbers and All climbers are skaters,35_27_R
All novelists are analysts and Some novelists are not travelers,35_28_R
Some fencers are not campers and Some engineers are not fencers,35_29_R
Some models are not managers and Some clerks are models,35_31_R
No divers are linguists and All divers are carpenters,35_32_R
Some soldiers are florists and Some florists are not editors,35_33_R
All counselors are joggers and Some riders are not joggers,35_34_R
Some hunters are athletes and No athletes are lawyers,35_35_R
Some pilots are tailors and Some singers are not pilots,35_36_R
All drillers are actors and Some actors are not nurses,35_37_R
Some engineers are campers and All fencers are campers,35_38_R
Some buyers are not students and All cyclists are students,35_39_R
All agents are brokers and No agents are secretaries,35_40_R
No poets are miners and Some poets are not skaters,35_41_R
Some managers are not clerks and No models are clerks,35_42_R
Some poets are cashiers and No waiters are cashiers,35_43_R
No golfers are teachers and No teachers are bankers,35_44_R
Some scientists are not chefs and Some chefs are runners,35_45_R
No actors are workers and Some workers are painters,35_47_R
All assistants are scholars and Some assistants are farmers,35_48_R
Some architects are not trainers and Some trainers are not designers,35_49_R
Some tutors are not packers and Some butchers are packers,35_53_R
No chemists are potters and Some sailors are not chemists,35_54_R
No opticians are boxers and No opticians are actuaries,35_55_R
No jugglers are investors and All investors are barbers,35_56_R
All plumbers are dentists and All plumbers are lifeguards,35_57_R
Some therapists are climbers and No therapists are skaters,35_58_R
Some typists are not boxers and Some typists are not dancers,35_59_R
No novelists are analysts and Some travelers are analysts,35_62_R
No cooks are swimmers and Some mayors are not swimmers,35_63_R
All nurses are actors and All actors are drillers,36_0_R
No skaters are climbers and All therapists are climbers,36_1_R
Some novelists are analysts and Some travelers are not analysts,36_5_R
No singers are pilots and Some pilots are not tailors,36_6_R
All soldiers are florists and Some editors are florists,36_7_R
Some tellers are doctors and No doctors are climbers,36_8_R
Some surfers are planners and Some surfers are artists,36_9_R
All dentists are lifeguards and All plumbers are dentists,36_10_R
No butchers are tutors and No butchers are packers,36_11_R
All judges are brewers and Some porters are not judges,36_12_R
Some lawyers are not athletes and Some hunters are not athletes,36_13_R
Some farmers are scholars and No assistants are farmers,36_14_R
Some writers are not hikers and Some drivers are not writers,36_15_R
Some poets are not cashiers and Some poets are waiters,36_16_R
Some gamblers are not bakers and Some sculptors are bakers,36_18_R
Some scientists are not chefs and All runners are scientists,36_20_R
Some carpenters are linguists and Some divers are linguists,36_21_R
Some painters are actors and No painters are workers,36_22_R
Some opticians are actuaries and Some boxers are not opticians,36_23_R
All sailors are chemists and Some chemists are not potters,36_25_R
No models are clerks and Some managers are clerks,36_26_R
Some teachers are not golfers and All bankers are golfers,36_27_R
Some dancers are not boxers and Some boxers are typists,36_28_R
Some students are not buyers and No cyclists are buyers,36_29_R
Some investors are not barbers and Some investors are not jugglers,36_30_R
Some joggers are counselors and Some counselors are riders,36_31_R
Some painters are not auditors and Some auditors are not cleaners,36_32_R
No plumbers are dentists and Some plumbers are lifeguards,36_33_R
Some drillers are not nurses and No nurses are actors,36_34_R
All poets are waiters and No cashiers are poets,36_36_R
Some climbers are therapists and Some climbers are not skaters,36_37_R
All barbers are jugglers and No jugglers are investors,36_38_R
All riders are joggers and All counselors are joggers,36_39_R
All opticians are actuaries and No boxers are actuaries,36_40_R
No workers are actors and Some painters are not workers,36_42_R
Some planners are surfers and Some surfers are not artists,36_43_R
All runners are chefs and Some runners are not scientists,36_44_R
All sculptors are gamblers and Some bakers are not gamblers,36_45_R
Some poets are miners and No skaters are miners,36_47_R
No climbers are doctors and Some doctors are tellers,36_48_R
Some models are clerks and All managers are models,36_49_R
All golfers are teachers and All golfers are bankers,36_50_R
No engineers are fencers and Some engineers are not campers,36_51_R
Some potters are not sailors and Some chemists are potters,36_52_R
No pilots are tailors and No tailors are singers,36_53_R
Some lawyers are not athletes and No hunters are lawyers,36_54_R
No architects are designers and All designers are trainers,36_56_R
Some dancers are typists and Some boxers are dancers,36_58_R
No judges are porters and Some brewers are judges,36_59_R
Some soldiers are florists and All editors are florists,36_61_R
All hikers are drivers and Some drivers are writers,36_62_R
Some tutors are butchers and All butchers are packers,36_63_R
All judges are porters and All porters are brewers,37_0_R
No packers are butchers and All tutors are butchers,37_1_R
Some workers are painters and All workers are actors,37_2_R
All bakers are gamblers and Some sculptors are bakers,37_3_R
All analysts are novelists and Some travelers are novelists,37_5_R
All agents are brokers and All secretaries are agents,37_6_R
Some planners are surfers and Some surfers are artists,37_7_R
No engineers are campers and No fencers are engineers,37_8_R
All dentists are lifeguards and Some lifeguards are plumbers,37_9_R
Some hikers are writers and Some drivers are not writers,37_11_R
Some potters are not sailors and All chemists are sailors,37_12_R
Some soldiers are florists and No soldiers are editors,37_13_R
No students are buyers and All students are cyclists,37_14_R
Some hunters are lawyers and Some athletes are hunters,37_15_R
No doctors are tellers and Some climbers are not tellers,37_17_R
Some barbers are investors and Some investors are not jugglers,37_18_R
No golfers are teachers and Some bankers are teachers,37_19_R
All climbers are skaters and Some climbers are not therapists,37_20_R
Some skaters are not miners and Some poets are skaters,37_21_R
No waiters are cashiers and No cashiers are poets,37_22_R
No carpenters are divers and Some linguists are carpenters,37_23_R
Some dancers are not boxers and All typists are dancers,37_24_R
No models are managers and Some models are clerks,37_26_R
Some opticians are not boxers and No actuaries are boxers,37_27_R
No nurses are actors and All drillers are nurses,37_28_R
No painters are cleaners and Some cleaners are not auditors,37_29_R
Some cooks are mayors and All swimmers are mayors,37_30_R
Some architects are designers and Some trainers are designers,37_31_R
No mayors are cooks and No mayors are swimmers,37_32_R
Some gamblers are not sculptors and No sculptors are bakers,37_33_R
All painters are workers and No workers are actors,37_34_R
All skaters are miners and Some skaters are poets,37_35_R
Some engineers are fencers and No campers are fencers,37_36_R
All singers are tailors and No pilots are tailors,37_37_R
Some poets are not waiters and Some poets are not cashiers,37_38_R
All auditors are cleaners and Some painters are not auditors,37_39_R
No carpenters are linguists and All linguists are divers,37_40_R
Some chefs are scientists and Some runners are not chefs,37_41_R
No analysts are novelists and Some novelists are travelers,37_42_R
Some dentists are not lifeguards and Some lifeguards are not plumbers,37_43_R
Some judges are not porters and Some brewers are not porters,37_44_R
No climbers are doctors and Some tellers are not climbers,37_46_R
Some surfers are not planners and Some surfers are artists,37_47_R
Some climbers are not therapists and All climbers are skaters,37_48_R
Some drillers are actors and Some drillers are nurses,37_50_R
Some writers are not hikers and All hikers are drivers,37_51_R
All editors are florists and No soldiers are editors,37_52_R
Some hunters are lawyers and All lawyers are athletes,37_53_R
All models are clerks and No models are managers,37_54_R
All potters are sailors and Some sailors are not chemists,37_55_R
Some assistants are not scholars and Some scholars are farmers,37_56_R
All actuaries are opticians and All actuaries are boxers,37_57_R
Some investors are jugglers and All barbers are investors,37_58_R
Some dancers are not boxers and No dancers are typists,37_59_R
Some designers are not architects and No trainers are designers,37_60_R
Some counselors are riders and No joggers are counselors,37_61_R
All packers are tutors and All butchers are tutors,37_62_R
No judges are porters and All brewers are porters,38_0_R
All analysts are novelists and All novelists are travelers,38_1_R
Some campers are engineers and All campers are fencers,38_2_R
All managers are clerks and Some models are managers,38_3_R
All bankers are golfers and Some golfers are not teachers,38_4_R
Some actors are painters and Some workers are not painters,38_5_R
Some skaters are poets and All poets are miners,38_8_R
All writers are drivers and All hikers are drivers,38_10_R
Some bakers are not sculptors and No bakers are gamblers,38_11_R
Some farmers are not scholars and Some farmers are not assistants,38_12_R
No cleaners are painters and No cleaners are auditors,38_13_R
No divers are carpenters and All carpenters are linguists,38_15_R
Some designers are trainers and Some architects are designers,38_16_R
No opticians are boxers and Some boxers are not actuaries,38_17_R
Some pilots are not tailors and No tailors are singers,38_18_R
Some soldiers are not florists and Some editors are soldiers,38_19_R
No sailors are potters and All sailors are chemists,38_20_R
All secretaries are agents and No brokers are secretaries,38_21_R
No planners are artists and Some surfers are planners,38_22_R
Some typists are not dancers and Some typists are boxers,38_23_R
Some counselors are not riders and Some joggers are not counselors,38_24_R
Some students are not buyers and All buyers are cyclists,38_25_R
All packers are butchers and All tutors are packers,38_27_R
Some cooks are not mayors and Some mayors are not swimmers,38_28_R
All skaters are therapists and Some climbers are not therapists,38_29_R
All cashiers are poets and Some cashiers are waiters,38_30_R
Some lawyers are not hunters and All athletes are lawyers,38_31_R
No planners are artists and No surfers are artists,38_32_R
No waiters are poets and All cashiers are waiters,38_33_R
No agents are brokers and Some secretaries are brokers,38_34_R
No lifeguards are plumbers and Some dentists are not plumbers,38_36_R
All porters are judges and All porters are brewers,38_37_R
Some golfers are teachers and All bankers are teachers,38_40_R
Some singers are tailors and No tailors are pilots,38_41_R
All dancers are boxers and Some typists are not dancers,38_42_R
Some architects are trainers and No architects are designers,38_43_R
All hikers are writers and No writers are drivers,38_44_R
No jugglers are investors and No barbers are jugglers,38_45_R
All counselors are joggers and Some riders are joggers,38_47_R
All sculptors are bakers and No gamblers are bakers,38_49_R
Some buyers are students and Some buyers are not cyclists,38_51_R
Some tellers are climbers and Some tellers are doctors,38_52_R
All engineers are fencers and Some fencers are campers,38_54_R
Some assistants are not scholars and No farmers are assistants,38_55_R
No sailors are chemists and Some sailors are not potters,38_56_R
Some managers are models and No clerks are managers,38_57_R
No cleaners are painters and No painters are auditors,38_58_R
Some runners are scientists and Some scientists are chefs,38_60_R
Some travelers are analysts and All novelists are travelers,38_62_R
Some climbers are therapists and No skaters are therapists,38_63_R
All cyclists are students and All students are buyers,39_1_R
Some potters are chemists and All potters are sailors,39_2_R
No cashiers are poets and All waiters are poets,39_3_R
Some assistants are scholars and Some assistants are farmers,39_4_R
No editors are soldiers and All soldiers are florists,39_5_R
All carpenters are linguists and Some linguists are not divers,39_7_R
All opticians are actuaries and All boxers are opticians,39_8_R
All nurses are actors and No nurses are drillers,39_9_R
All cleaners are auditors and No auditors are painters,39_10_R
All porters are brewers and No judges are brewers,39_11_R
Some campers are engineers and All fencers are campers,39_12_R
Some scientists are not chefs and Some runners are chefs,39_13_R
Some tailors are not pilots and No tailors are singers,39_14_R
Some painters are not actors and All workers are painters,39_17_R
No dentists are plumbers and Some dentists are lifeguards,39_18_R
Some riders are not joggers and All joggers are counselors,39_19_R
No sculptors are gamblers and No bakers are gamblers,39_22_R
Some climbers are doctors and Some tellers are not climbers,39_23_R
No architects are designers and No architects are trainers,39_24_R
All hunters are athletes and Some hunters are lawyers,39_27_R
Some surfers are planners and Some artists are not planners,39_28_R
No typists are boxers and All typists are dancers,39_29_R
Some writers are drivers and No drivers are hikers,39_30_R
All climbers are skaters and Some therapists are skaters,39_31_R
Some farmers are scholars and Some scholars are assistants,39_32_R
All skaters are miners and No poets are skaters,39_33_R
Some singers are tailors and No singers are pilots,39_34_R
No boxers are dancers and Some typists are dancers,39_35_R
All teachers are golfers and Some bankers are not golfers,39_36_R
Some butchers are tutors and Some butchers are not packers,39_37_R
Some students are not cyclists and Some cyclists are not buyers,39_38_R
All cooks are swimmers and Some swimmers are mayors,39_39_R
Some hikers are drivers and Some writers are drivers,39_40_R
Some lifeguards are not plumbers and No dentists are lifeguards,39_43_R
No florists are editors and Some florists are not soldiers,39_45_R
Some models are managers and All clerks are managers,39_46_R
Some nurses are not actors and Some drillers are not actors,39_47_R
Some cashiers are not poets and Some cashiers are waiters,39_48_R
No lawyers are athletes and Some athletes are hunters,39_49_R
All auditors are cleaners and Some auditors are not painters,39_50_R
All agents are secretaries and All brokers are secretaries,39_51_R
No workers are painters and All actors are workers,39_52_R
No judges are brewers and No brewers are porters,39_54_R
Some divers are not linguists and All divers are carpenters,39_55_R
No planners are surfers and Some artists are not surfers,39_56_R
All scientists are chefs and Some runners are not scientists,39_58_R
Some tellers are not climbers and Some climbers are doctors,39_59_R
No novelists are travelers and Some analysts are not novelists,39_61_R
Some chemists are not sailors and Some potters are chemists,39_62_R
Some therapists are not climbers and Some skaters are not therapists,39_63_R
All riders are counselors and Some joggers are riders,40_2_R
All lawyers are athletes and Some hunters are not lawyers,40_4_R
Some golfers are not teachers and Some bankers are teachers,40_5_R
Some boxers are not actuaries and Some opticians are boxers,40_7_R
All waiters are cashiers and No poets are cashiers,40_8_R
No tutors are packers and Some packers are not butchers,40_9_R
Some doctors are not tellers and No climbers are tellers,40_10_R
Some singers are pilots and No singers are tailors,40_11_R
No skaters are climbers and All therapists are skaters,40_12_R
Some assistants are not farmers and No farmers are scholars,40_14_R
All actors are workers and All painters are actors,40_16_R
All brokers are agents and All secretaries are agents,40_17_R
Some analysts are travelers and Some novelists are not analysts,40_18_R
All buyers are cyclists and Some cyclists are students,40_20_R
All miners are skaters and No poets are miners,40_22_R
No typists are dancers and Some boxers are not dancers,40_25_R
No dentists are plumbers and Some lifeguards are dentists,40_26_R
Some engineers are not campers and Some campers are not fencers,40_28_R
No sculptors are bakers and Some gamblers are not sculptors,40_30_R
No runners are scientists and Some runners are not chefs,40_31_R
Some cashiers are poets and All waiters are poets,40_32_R
All plumbers are lifeguards and Some lifeguards are not dentists,40_33_R
Some cyclists are buyers and Some buyers are not students,40_34_R
No carpenters are linguists and No carpenters are divers,40_35_R
Some soldiers are florists and Some editors are florists,40_36_R
All jugglers are barbers and Some investors are not barbers,40_38_R
Some cooks are swimmers and All mayors are cooks,40_39_R
Some sculptors are gamblers and Some gamblers are bakers,40_40_R
Some riders are counselors and Some riders are not joggers,40_41_R
All painters are actors and Some painters are workers,40_42_R
Some campers are fencers and Some engineers are campers,40_43_R
Some drillers are not actors and Some drillers are nurses,40_44_R
No poets are skaters and All skaters are miners,40_45_R
Some athletes are lawyers and No lawyers are hunters,40_46_R
Some actuaries are not opticians and Some actuaries are not boxers,40_47_R
Some scholars are not assistants and All farmers are scholars,40_49_R
No bankers are golfers and Some golfers are teachers,40_50_R
Some tailors are not pilots and Some singers are not pilots,40_51_R
Some architects are not trainers and All architects are designers,40_52_R
No novelists are analysts and No travelers are novelists,40_53_R
No writers are hikers and No hikers are drivers,40_54_R
No planners are surfers and Some planners are artists,40_55_R
Some porters are not judges and Some judges are brewers,40_56_R
Some agents are secretaries and No brokers are agents,40_57_R
Some chefs are scientists and No runners are scientists,40_58_R
Some climbers are not doctors and All tellers are doctors,40_59_R
Some packers are butchers and Some tutors are not butchers,40_61_R
Some managers are models and All models are clerks,40_62_R
No drivers are writers and All hikers are writers,41_0_R
All editors are soldiers and Some florists are editors,41_1_R
Some swimmers are mayors and All swimmers are cooks,41_3_R
Some architects are not trainers and All designers are trainers,41_4_R
Some scientists are not runners and All runners are chefs,41_5_R
All butchers are packers and All butchers are tutors,41_6_R
Some potters are chemists and Some sailors are not potters,41_7_R
All gamblers are bakers and Some gamblers are sculptors,41_8_R
All assistants are scholars and All farmers are scholars,41_10_R
Some poets are miners and No poets are skaters,41_11_R
No nurses are drillers and No nurses are actors,41_12_R
